date,our,ewtf,td3,sac,ppo,sse
2021-02-24,1618185.2963400004,1112017.1435100003,993552.1027899998,1086152.6251200002,1121070.0816500005,1462393.4404252446
2021-02-25,1641287.0716600004,1129330.8182600003,1003453.2927899999,1102256.65512,1131840.1700000006,1482544.3407501786
2021-02-26,1595434.3427200003,1110202.1579400003,1000110.5627899999,1087626.67512,1110176.0230400006,1454473.2438229844
2021-03-01,1646048.1452400004,1109882.5589400004,997145.4327899999,1082635.84512,1135600.7865500005,1473130.4574822113
2021-03-02,1612712.7986600006,1097624.52915,986271.9927899998,1073860.36512,1112440.8777800004,1448408.074557548
2021-03-03,1658962.0453500005,1130421.39786,1003240.8527899998,1104128.4451200003,1130428.9450400004,1486991.5359887355
2021-03-04,1606367.0167800002,1118434.7938499998,989587.8727899998,1091309.16512,1088265.6075300004,1448759.8523564474
2021-03-05,1588973.9949000005,1105373.4380600003,997517.6627899997,1082230.57512,1082798.5434100006,1435816.8295679132
2021-03-08,1477299.0771900003,1057674.2475500004,943779.6427899998,1034636.2451199999,1026584.2886400004,1347605.988400486
2021-03-09,1481858.1775800006,1045906.0131300004,924190.1027899998,1016528.4651200001,1015043.3922800005,1338925.9481552832
2021-03-10,1535803.6793600002,1047699.1725200004,916620.4327899996,1015634.47512,1034020.8451600005,1368865.2925655332
2021-03-11,1550713.9455100005,1065038.1873400004,923312.3827899998,1030424.54512,1048284.0600900005,1386202.560059834
2021-03-12,1570233.6718700004,1062149.6196400002,917884.7427899998,1026837.10512,1061017.7361300006,1394529.8732137014
2021-03-15,1527948.4406400006,1049099.0838800005,899310.5527899999,1006535.1551200001,1039732.1060400003,1362880.313529508
2021-03-16,1525732.1463300004,1051562.8261100005,897331.1027899998,1008815.5651199999,1042875.7081500004,1364498.0277500362
2021-03-17,1552090.3949100005,1037888.0245300004,895054.8327899999,998817.3351200002,1060328.0140700005,1372974.4797417796
2021-03-18,1568059.1699600003,1040811.3816500003,901256.6527899998,1003754.55512,1069661.1366100004,1383358.489915956
2021-03-19,1539765.9334700005,1022374.8220300002,888387.7627899998,985775.47512,1048541.9988600004,1357107.3164905803
2021-03-22,1558125.3451000005,1028055.5677700002,895234.9027899997,991528.9051200001,1061177.7967200004,1369826.3562271225
2021-03-23,1519961.0319900005,1022856.5320900006,896412.0727899997,989290.4951200001,1041543.0386700005,1348189.0338217502
2021-03-24,1495562.5591200003,1006603.9027200004,881786.8527899999,978750.35512,1018739.5446100004,1328042.2604207727
2021-03-25,1511497.8246700005,1012391.9676500002,884932.5427899997,982927.24512,1030005.2424500005,1339061.9268022387
2021-03-26,1572242.9152300004,1038964.0522200004,903147.1227899997,1007884.1651199998,1061751.3253100005,1385976.1188400614
2021-03-29,1579142.8287600006,1038756.6900000002,902005.3127899998,1006947.14512,1065119.6588500005,1389135.8636926385
2021-03-30,1593560.1112000006,1052022.0804700004,915495.5027899997,1017384.80512,1067967.1155800004,1406048.7175279036
2021-03-31,1554800.5512000006,1045355.8904700002,907129.3527899998,1005848.75512,1054776.6806900003,1384245.578715449
2021-04-01,1610297.2541600005,1056476.4262700004,918790.4427899998,1017532.7651199999,1081060.6336800004,1416031.6566444037
2021-04-02,1639417.8358900005,1048917.3865900002,916124.9327899998,1011942.4662700001,1099337.1330100005,1423351.9104200497
2021-04-06,1583364.9331300005,1037712.7573100004,912473.0627899998,1007401.5708,1076260.6653600005,1393801.765915757
2021-04-07,1563385.4260200004,1032479.4088100004,906812.52279,1000250.1740300001,1062629.0116100004,1380589.164060676
2021-04-08,1570455.3321000002,1040864.8312600002,919915.5127899998,1010095.5440299999,1078049.0380500003,1393697.2837925525
2021-04-09,1529336.2478300005,1024866.6303900002,902890.7727899998,993388.3940299999,1049636.0348300005,1366377.2570476872
2021-04-12,1500641.8785300003,1008866.3927900004,885787.8927899997,974725.6340300001,1039045.3220600004,1345052.3717641816
2021-04-13,1398931.9758800005,984101.8928200004,883647.3227899999,973751.3440299999,994569.7303300005,1299829.6090026342
2021-04-14,1460115.3692200002,983761.7447500002,871870.1627899997,961775.7940300001,1022982.2194400004,1310935.5011148893
2021-04-15,1427524.4657500004,959554.3252600004,854440.9127899999,939133.0740299999,1006334.9845600006,1279594.2016658469
2021-04-16,1434426.3100100004,961201.4833900004,857868.5227899998,938499.66403,1024434.2914600004,1280722.7404981425
2021-04-19,1470878.8264700004,980171.0783500004,880529.0727899998,954346.9540300001,1055882.5176800005,1307042.6726734962
2021-04-20,1460120.3785900006,972104.5027400004,871923.9827899998,945951.80438,1048362.5633200005,1295914.7170065322
2021-04-21,1490847.4552800006,991541.2774500004,886806.4827899998,955258.5217200001,1062745.0285600005,1318797.3512063052
2021-04-22,1477071.6550000005,982936.8223900005,883688.8127899998,951511.35172,1061763.7085800006,1309548.5149189201
2021-04-23,1491592.4881400005,991282.8639400004,887969.3727899998,951995.27172,1077660.5330600003,1320357.3084765538
2021-04-26,1480996.5271400004,981518.2221700004,876916.7327899997,931671.68172,1075206.0231900006,1304942.9377319324
2021-04-27,1517053.1368000004,996926.1065200004,881488.5127899997,938923.6217200002,1082863.1380900005,1322402.0943749368
2021-04-28,1526842.3172800003,1003503.2664600004,898354.5627899999,940115.26172,1106109.5724100005,1326569.7080024434
2021-04-29,1530108.0725200004,1009304.2676000004,904508.0327899999,952354.0517200001,1130696.1168100003,1340479.2304008286
2021-04-30,1539634.4604500004,1016670.3112100004,930158.5727899998,952362.17172,1148633.9255100004,1344892.0712457763
2021-05-06,1474617.5873500004,981918.6212000004,890698.5427899997,936524.3817200002,1091011.1695300003,1309285.4410036937
2021-05-07,1440315.3947800004,965061.2907900003,874615.7827899996,920585.5017200002,1077469.7922100003,1289691.8153085418
2021-05-10,1479390.2044600004,985130.1585800004,898525.6427899997,920044.4117200001,1111891.7394100004,1304466.3529591586
2021-05-11,1491839.3679900004,997406.9029600004,930077.0627899999,938869.2275099999,1132238.6419100005,1325018.6041332234
2021-05-12,1505432.5433100003,1004516.0135200004,928352.6627900001,933999.8301900002,1139089.4740100005,1328267.812303422
2021-05-13,1471297.5130100006,988970.4285900004,936027.9727899999,926485.0434500001,1143784.6858300006,1311107.8026881886
2021-05-14,1534841.9059100004,1029751.9559000002,983292.6527899998,961929.5134500001,1189921.8833400004,1352455.8834826874
2021-05-17,1575800.0206600004,1051393.7267200002,989536.0227899997,969678.1748800002,1201554.7896100003,1373884.081760819
2021-05-18,1570961.0702200006,1043306.6635400004,966387.4427899999,973384.78378,1170585.3606900005,1369097.6193984053
2021-05-19,1596879.5295800003,1055760.4306400004,970427.6827899998,967053.22378,1181721.0815500005,1370395.3221426879
2021-05-20,1587517.9434200004,1049805.6415700002,958819.9127899999,965444.9100200001,1176142.5844300003,1363968.84218379
2021-05-21,1555405.5873400006,1030817.2342700004,948963.5827899999,949111.3998200002,1161934.7574100003,1341342.7667553711
2021-05-24,1568765.1073400006,1038734.9744000004,956342.3327899999,958142.8680200002,1163029.0608900003,1351472.026810097
2021-05-25,1654973.2173400004,1096603.4136800005,1001054.9627899999,998144.94042,1214864.2339900003,1410120.8623140655
