date,ewtf,our,td3,sac,ppo,sse
2021-07-01,1546738.6371800003,1228757.406270001,756657.4995000003,769017.5431899999,1002269.3697999986,1168232.6062179396
2021-07-02,1436613.4392300004,1218587.1292700008,734885.7495000003,747138.0731899998,1001879.9877599987,1099600.7596771591
2021-07-05,1426630.0907200002,1223867.8562700008,732142.9995000003,744118.0331899999,1002159.6871999986,1095885.4643763115
2021-07-06,1360276.0978600003,1233715.927270001,740046.4995000003,752211.4831899999,1002779.6455799986,1066443.141744716
2021-07-07,1449746.2442000003,1240776.587270001,737788.9995000003,749675.86319,1003215.7416199986,1116870.5342483618
2021-07-08,1410841.8022400006,1236093.1392700006,721823.7495000003,732712.9631899999,1002932.5760199988,1089653.2906542234
2021-07-09,1400428.8110600004,1230186.8732700008,716824.9995000003,726371.4731899998,1002380.3514799987,1080168.1514488095
2021-07-12,1484976.8583800003,1238947.9162700009,716988.4995000003,724476.5731899999,1002611.5489999986,1128556.2989489678
2021-07-13,1460269.6946500004,1227570.4752700008,717473.7495000003,724801.9831899999,1001931.0056599986,1110870.4275419957
2021-07-14,1489318.8988800002,1215174.9422700007,701827.9995000003,708932.49319,1001172.0648399986,1117115.9073417587
2021-07-15,1522009.4864900005,1221244.571270001,715535.7495000003,718271.4531899999,1000546.3268199986,1140113.3523171004
2021-07-16,1522672.5783300002,1208517.9402700006,707633.7495000003,710664.25319,999912.8310999986,1133377.545165918
2021-07-19,1545481.3063300005,1207691.4642700008,697309.9995000003,700821.62319,999940.0976999985,1142695.7623654378
2021-07-20,1525417.9512900002,1237069.8022700008,701827.2495000003,704157.5831899999,1001490.9641999985,1144155.3714283651
2021-07-21,1536661.0133800006,1265386.5402700007,706015.9995000003,708093.9231899999,1002909.4650599986,1162321.2281748108
2021-07-22,1496782.7235900003,1303528.695270001,719892.4995000003,720181.5431899999,1005003.4407799987,1158243.3180937397
2021-07-23,1431175.5876700005,1304262.3962700008,712645.2495000003,710723.7131899999,1005058.8889399986,1119738.2356231215
2021-07-26,1387275.5387700005,1300789.607270001,685557.4995000003,682695.2531899998,1005053.1568999985,1086042.7364151713
2021-07-27,1351682.8968700003,1269447.447270001,657810.4995000003,656966.79319,1003440.2048799986,1047795.1410457119
2021-07-28,1419200.1103300003,1278494.227270001,658937.7495000003,659656.4731899999,1004198.7586199985,1088841.684352259
2021-07-29,1445318.0434300003,1315302.6152700009,650212.9995000003,653700.01319,1006206.4496599985,1114377.2394805306
2021-07-30,1396171.4087500002,1310970.2712700008,656199.4995000003,654437.9531899999,1005696.8935799985,1086485.9931140884
2021-08-02,1419810.7921700005,1307183.2302700006,712639.9995000003,709737.38319,1004901.5392999984,1115987.6937145826
2021-08-03,1472089.3716400005,1306643.374270001,718771.9995000003,714035.1331899998,1004639.1878199984,1145120.174823174
2021-08-04,1473021.7930400004,1349199.7812700006,721185.4995000003,717014.9031899999,1006869.8372599983,1160655.294362656
2021-08-05,1490168.8183000004,1334722.118270001,732148.9995000003,727935.8931899999,1005922.5788999983,1168863.726691489
2021-08-06,1373900.9601900002,1320307.9072700008,719411.7495000003,714795.4731899999,1005202.4238399984,1097227.5095713548
2021-08-09,1337376.6820000005,1314069.7402700009,754891.9995000003,749516.7331899999,1004705.1912799984,1086829.631430025
2021-08-10,1361694.9671400003,1316680.3992700009,756177.4995000003,753141.4231899999,1005128.4404399984,1101555.657679791
2021-08-11,1342864.5381300002,1310136.842270001,747955.2495000003,747298.38319,1005378.5481399985,1086937.755392924
2021-08-12,1305912.7634900005,1312389.013270001,745212.4995000003,743960.32319,1005325.8349799985,1067190.344053285
2021-08-13,1301720.0907800002,1298966.310270001,748756.2495000003,747899.1031899999,1004517.0019999985,1062211.100245734
2021-08-16,1282671.6245100002,1300209.943270001,753595.2495000003,752183.2931899999,1004510.9717799985,1053940.6158452253
2021-08-17,1226084.77255,1274321.0522700008,760690.9995000003,759157.50319,1003130.2215799985,1018623.8049015851
2021-08-18,1215254.9980500003,1269502.896270001,774083.7495000003,771723.9831899999,1003047.1960599985,1015456.9261968255
2021-08-19,1232869.7940500004,1269399.311270001,751502.7495000003,749829.1231899998,1002999.5308199985,1017303.7968908752
2021-08-20,1164664.2434100003,1270715.004270001,765367.2495000003,764069.1231899998,1002975.5457399985,987621.6426800721
2021-08-23,1173559.4757500002,1291023.275270001,756820.9995000003,755514.9131899999,1004039.8407399985,995182.5233014225
2021-08-24,1234412.9956900002,1289998.116270001,743598.4995000003,742685.1231899998,1004099.6921799985,1021348.425668706
2021-08-25,1248503.9668500004,1283416.3942700012,741838.9995000003,737373.0831899999,1003642.0234199985,1024836.1967067424
2021-08-26,1190105.0341300005,1267711.849270001,726203.7495000003,720455.0631899999,1002862.7161799984,984336.7168358418
2021-08-27,1226708.9048100002,1262668.3902700013,725079.4995000003,718101.8431899999,1002547.4515199984,1000912.2556643296
2021-08-30,1230071.0894500003,1252233.650270001,693796.2495000003,686254.5631899999,1001896.7478999984,988552.2948827853
2021-08-31,1252637.9124100003,1258519.1912700012,735561.4995000003,728243.4431899999,1002305.3064199984,1016621.4496291825
2021-09-01,1256304.9216400003,1233881.916270001,796071.4995000003,780741.5431899998,1001191.3235999984,1030167.1333566678
2021-09-02,1219396.8104300003,1228551.6182700011,801079.9995000003,783803.75319,1000945.5844199985,1010704.7555986047
2021-09-03,1264027.6270700002,1223989.1742700012,803321.7495000003,790058.8031899999,1000883.8460399983,1034660.1092941244
