date,ewtf,our,ppo,sse,sac,td3
2021-03-02,1334365.2422600002,1442781.47039,1258689.3821599968,1328906.368771341,1481349.9719799992,1206166.8216999997
2021-03-03,1368769.8589400002,1495873.7103900004,1288613.9483399966,1376991.8994039344,1515826.341329999,1220973.0217
2021-03-04,1345165.86994,1478210.7403900004,1248239.157309997,1353158.6334319827,1471030.919959999,1185007.1616999998
2021-03-05,1333309.7407400005,1451373.2503900002,1235619.3005499968,1332298.1661863648,1458767.107029999,1185814.3117
2021-03-08,1294814.8484000002,1436972.46039,1171895.2034799969,1304047.778950128,1392339.9878299988,1151887.3017
2021-03-09,1265646.6129200002,1413025.0803900005,1170804.466509997,1285618.1537468669,1383699.0528399989,1116798.2617
2021-03-10,1270201.7902000002,1407938.0303900002,1210301.8854699966,1294064.105572795,1420187.842839999,1128179.2216999999
2021-03-11,1297173.1810100002,1450057.2803900002,1226158.029739997,1332933.2552372457,1441444.8028399989,1149204.9216999998
2021-03-12,1306972.54029,1451215.70039,1242641.088269997,1336920.105936055,1457587.3528399991,1159859.7617
2021-03-15,1292583.2056100003,1438592.4103900003,1211641.778149997,1320817.946332699,1424519.7628399988,1143530.0917
2021-03-16,1318637.7784300004,1461652.5603900002,1211303.253769997,1330556.813938722,1428201.3428399991,1157882.2116999999
2021-03-17,1311989.19843,1434563.4503900004,1233247.951159997,1313865.1376035325,1446283.882839999,1164669.3217
2021-03-18,1308989.44049,1426827.59074,1243114.4724099971,1311131.166917723,1451416.6828399987,1168456.9817
2021-03-19,1275228.6245400002,1385985.3267000003,1218354.9416999968,1278604.4380981054,1423920.252839999,1137993.9817
2021-03-22,1287289.5579300004,1398980.41201,1235214.420589997,1292685.3053637715,1441067.342839999,1151731.3917
2021-03-23,1274814.11691,1398701.7143900003,1205212.4716399969,1282669.9931615337,1410541.6128399991,1133268.7717
2021-03-24,1259265.1126800005,1379363.8502600002,1184947.318109997,1262694.6615547969,1388768.022839999,1113993.3917
2021-03-25,1256954.2249400003,1373876.5662,1192823.5890099967,1262910.223472011,1394942.412839999,1111415.1916999999
2021-03-26,1283582.81449,1394162.4310300003,1234354.2394899968,1287005.5884559145,1436933.0728399989,1138123.6416999998
2021-03-29,1286306.4300000002,1385283.64735,1240071.208049997,1281389.8327826527,1444812.552839999,1145361.8516999998
2021-03-30,1289865.70196,1392030.26735,1247836.797559997,1287633.6234935813,1451711.622839999,1151250.2317
2021-03-31,1269662.65972,1381652.2235300003,1217178.8778199968,1270968.6651424626,1416769.2428399988,1140565.2016999999
2021-04-01,1288263.06051,1390606.4118500005,1259377.082109997,1287910.455939319,1458094.502839999,1153602.9316999998
2021-04-02,1293725.57125,1384773.0078300002,1284537.4635699969,1291440.8659260336,1480968.8328399989,1151285.4817
2021-04-06,1282476.1842200002,1383943.21783,1245247.5187499968,1282316.1241041292,1446925.962839999,1152935.1017
2021-04-07,1261388.6956700005,1365075.5986199998,1231160.3088899967,1268567.7893239395,1434221.0828399989,1147651.7517
2021-04-08,1267347.9532000003,1374029.23916,1231908.7074899967,1272286.432380796,1433820.9828399988,1148732.7817
2021-04-09,1240467.1157600004,1351842.8282500005,1199290.9925499968,1248134.0438206547,1398431.3428399991,1129804.2116999999
2021-04-12,1221738.6541800003,1346427.93969,1179439.738439997,1239193.7099029643,1376645.3728399992,1107060.2417
2021-04-13,1197319.5273500003,1343511.07528,1103982.114419997,1214688.0049709892,1312015.9928399993,1109458.3417
2021-04-14,1218283.0432400005,1345030.1663400002,1159585.8876099968,1230601.9993778695,1362486.302839999,1104470.3517
2021-04-15,1201319.34237,1326709.5393500002,1141822.670209997,1211469.3241909181,1343919.5228399988,1089679.2417
2021-04-16,1210903.3878100002,1334694.66955,1149497.8150199968,1215760.9325011794,1353612.9028399987,1092791.0617
2021-04-19,1235558.8237800002,1357908.46626,1177502.3965999968,1236621.2639994645,1382511.4028399992,1113037.3217
2021-04-20,1228241.84706,1350875.4314400002,1173030.024729997,1233475.7558801791,1374480.8228399989,1111947.5417
2021-04-21,1233130.71088,1349852.3170800002,1187725.211179997,1237415.8949519647,1383908.202839999,1116981.5117
2021-04-22,1225929.6395800002,1338308.0948400002,1175697.211399997,1223643.460171989,1370207.252839999,1107264.6616999998
2021-04-23,1229305.87357,1341323.2401600005,1186910.632129997,1229231.4894524172,1379247.0528399993,1118773.3017
2021-04-26,1204921.46287,1315148.87566,1178065.283019997,1207992.3404761087,1361060.852839999,1088219.8017
2021-04-27,1207167.76415,1318959.08876,1199479.764609997,1214506.2780766084,1370166.632839999,1067239.3116999997
2021-04-28,1210835.4974299998,1315586.07516,1206573.0262299967,1211731.9177110132,1377280.4428399992,1069310.4716999999
2021-04-29,1227305.2891300004,1342285.3264599997,1212373.214579997,1232220.4518076552,1384999.5528399989,1086064.2917
2021-04-30,1213291.6148300003,1317145.9471700003,1209591.7559799969,1216712.5067634892,1381501.2428399988,1070529.4316999998
2021-05-06,1186239.6560100005,1305586.0201,1164527.8459799967,1191700.498215014,1335207.642839999,1048934.1417
2021-05-07,1162389.9431899998,1294621.67879,1142789.3288499967,1180631.5055152052,1308770.162839999,1028360.0917
2021-05-10,1173644.0280100002,1293219.5041700003,1167876.2016599968,1183408.6293086575,1330794.072839999,1009508.2516999999
2021-05-11,1177026.6820400003,1295576.57479,1166688.824259997,1186877.3227398957,1331128.042839999,1015741.1716999998
2021-05-12,1180869.7578000005,1292888.12306,1175504.376949997,1187024.9625092528,1338863.062839999,1013443.1216999999
2021-05-13,1165048.2763000005,1281431.04545,1148230.553169997,1172006.3429686818,1311309.3828399987,1002638.4317
2021-05-14,1215649.3671200003,1322637.98151,1194828.8658899968,1211243.2127666564,1363754.272839999,1022140.0716999999
2021-05-17,1229545.3197500005,1321391.9515100005,1220788.775889997,1215335.2094713703,1386426.492839999,1039790.6516999998
2021-05-18,1230885.4895700002,1328093.7041900004,1218384.1458899968,1218220.0002926323,1385570.7028399992,1038503.8017
2021-05-19,1232202.9127500004,1310234.5871400002,1233447.8458899967,1209393.1559937277,1397041.972839999,1021043.0516999998
2021-05-20,1240350.5002400002,1326498.5887,1232935.8288199967,1219312.9408582512,1399250.092839999,1032789.8916999999
2021-05-21,1217730.6307600003,1304448.2196900002,1211236.868819997,1200886.3020963233,1376587.302839999,1021278.2716999999
2021-05-24,1224577.8281800002,1302798.83089,1218155.438819997,1204150.8751712996,1386132.732839999,1030992.4916999999
2021-05-25,1285310.1208100002,1359795.95302,1277721.588819997,1257750.569142511,1444709.552839999,1059999.0217
2021-05-26,1288748.4556800004,1364185.20763,1283788.238819997,1262008.7981531299,1448237.1928399992,1070659.7216999999
2021-05-27,1293286.03026,1362493.10048,1296178.0788199971,1266060.1627721062,1461044.902839999,1070664.0417
2021-05-28,1292065.1799300003,1364286.8932499995,1294911.9988199968,1268125.0493962727,1459922.882839999,1065972.3417
2021-05-31,1273025.7641800002,1350024.99355,1265303.4788199968,1250103.94609644,1432557.982839999,1060743.9216999998
2021-06-01,1263412.7926200002,1333525.14734,1263083.502539997,1240412.6482345117,1430624.0428399993,1064854.6616999998
2021-06-02,1247419.71262,1330106.4179200002,1239603.8499999968,1230483.433778441,1408790.3728399992,1059143.7817
2021-06-03,1248183.6782500003,1322514.8492300005,1237079.4541199966,1225125.016264227,1410901.9928399993,1064447.1017
2021-06-04,1243728.9018600003,1332982.8562800002,1222134.1283199969,1226530.1902408695,1396024.912839999,1055120.2116999999
2021-06-07,1236617.5137200002,1321891.2803000002,1212631.1947699967,1215106.0340358703,1384972.642839999,1029459.4016999999
2021-06-08,1237041.60284,1323366.35098,1213514.1547699969,1215638.672635037,1386089.0828399989,1029723.2816999998
2021-06-09,1229078.4090000002,1324815.6728499995,1200028.544769997,1212660.49734468,1373823.462839999,1036467.9516999999
2021-06-25,1187276.2303800003,1276948.5467000003,1143411.710859997,1165392.4856346108,1329458.952839999,1010265.7016999997
2021-06-28,1184779.8882300002,1252878.9323000002,1165690.854769997,1155396.0229192304,1342365.0828399989,995328.5716999999
2021-06-29,1163635.1980800002,1233817.98414,1142471.918909997,1134760.5180936598,1315592.6628399992,975246.0516999998
2021-06-30,1160951.2804000005,1228492.2687200003,1142815.263849997,1136104.319731279,1315820.8528399991,985663.0516999998
2021-07-01,1160706.7786200002,1243171.0340300002,1147101.831759997,1146282.3493531116,1315087.302839999,990007.9716999998
2021-07-02,1109245.31666,1193313.5854000002,1085750.0559599968,1098054.414919733,1251836.212839999,960961.6216999999
2021-07-05,1105685.6266600003,1189116.5854000002,1079565.520629997,1091591.9110142097,1244323.572839999,948067.3016999998
2021-07-06,1116954.90977,1205357.92042,1087876.2787599969,1104342.0229306137,1254685.712839999,956007.6316999998
2021-07-07,1108869.50177,1198796.48212,1070594.0931499968,1095707.9010600906,1240087.622839999,956899.9816999998
2021-07-08,1086098.5641,1160655.60084,1046948.637659997,1065187.0184708775,1216491.362839999,935870.0916999999
2021-07-09,1079082.0024100002,1151731.5289100006,1035563.7360399971,1055908.2082737589,1208341.4528399988,939995.0716999997
2021-07-12,1101708.1970000004,1149052.52813,1086350.8811299969,1067518.857074163,1250587.162839999,944690.0316999999
2021-07-13,1107730.8996500005,1151902.0159599998,1097947.1263699972,1072034.1963822343,1258357.8328399989,957371.9316999998
2021-07-14,1083448.4378000002,1122419.04744,1072699.261549997,1045867.0895338309,1228290.262839999,941194.6716999998
2021-07-15,1102290.5479400002,1159245.1281200005,1085997.9306199967,1074180.8707747343,1241547.572839999,948430.9016999998
2021-07-16,1088210.7320300003,1151929.8630500005,1057708.486749997,1063039.2290109966,1219486.672839999,940319.5916999999
2021-07-19,1104701.9753400004,1152020.53707,1096600.7231399969,1070638.6798587344,1252284.942839999,945913.4816999999
2021-07-20,1100242.42094,1137708.03537,1101907.959519997,1061437.3813889492,1254052.762839999,942642.7716999999
2021-07-21,1095169.9343400002,1133364.28362,1079008.165819997,1051538.2058784973,1234678.762839999,937448.5517
2021-07-22,1103499.28646,1145943.15751,1076028.332189997,1058308.5168623542,1234856.3128399989,945471.4016999999
2021-07-23,1094171.7386400003,1135336.2112900002,1061192.878579997,1045518.6406735213,1219598.5528399989,927365.3117
2021-07-26,1049146.9268500004,1083718.98604,1011127.9549799969,995081.937138881,1164228.272839999,896077.6516999999
2021-07-27,1012419.2696800004,1048113.31557,975937.2816399969,961220.1720808825,1126599.162839999,859012.4416999999
